Tahun,Komoditi,Unit Kuantiti,Kuantiti Eksport,Nilai Eksport,Kuantiti Import,Nilai Import
2019,Tepung Gandum dan tepung meslin,Tan Metrik,99695,173611349,303688.06,418485748
2019,Malt,Tan Metrik,1489.48,14839426,50358.67,115981753
2019,Biskut,Tan Metrik,23122.33,316343526,12918.98,160476200
2019,Keluaran roti,Tan Metrik,133747.69,1454103784,20429.55,182418362
2019,Bijirin bersalut koko,Tan Metrik,23463.26,202378875,8410.26,95647689
2019,Roll flake grains of maize,Tan Metrik,5668.93,5671995,2240818.25,1976408954
2019,Other worked grains of maize,Tan Metrik,4828.13,6739660,2414.06,3938640
2019,Bijirin lain,Tan Metrik,129107.82,1391252811,156343.92,820023611
2019,Bayam,Tan Metrik,9492.18,17608602,869.11,8828610
2019,Cendawan,Tan Metrik,5401.64,70313860,45085.44,275717930
2019,Cili ,Tan Metrik,6819.71,32033071,68718.46,152613020
2019,Halia,Tan Metrik,305.54,3485476,59589.85,191221259
2019,Jagung manis,Tan Metrik,11356.37,45489589,11659.31,39440950
2019,Kacang bendi,Tan Metrik,2842.74,6856660,411.17,512839
2019,Kacang buncis,Tan Metrik,3410.67,13972985,654.48,3665075
2019,Kacang panjang,Tan Metrik,5337.44,18443486,1273.1,1745918
2019,Kobis,Tan Metrik,3077.57,6372958,119628.22,127650121
2019,Salad,Tan Metrik,14387.69,73879446,8988.1,17603728
2019,Sawi,Tan Metrik,7322.29,11676908,8905.78,12000741
2019,Sayuran campuran,Tan Metrik,8147.3,35138356,28484.93,107767119
2019,Terung,Tan Metrik,9248.22,21655363,2928.27,3395503
2019,Timun,Tan Metrik,22384.18,40968125,12302.74,10510571
2019,Tomato,Tan Metrik,44223.98,123354627,19052.37,75423934
2019,Ubi kayu,Tan Metrik,556.14,748397,523.26,1973653
2019,Ubi keledek,Tan Metrik,1141.84,1896766,13791.48,36835027
2019,Bawang,Tan Metrik,14871.32,25760245,504739.13,743841791
2019,Bawang putih,Tan Metrik,5112.91,17838445,108552.92,492351528
2019,"Bunga kobis,brokoli",Tan Metrik,1043.58,4785906,60446.57,268002307
2019,Kekacang,Tan Metrik,8787.6,33528266,117039.17,360404413
2019,Lobak merah,Tan Metrik,4800.27,9650856,92230.27,178074648
2019,Ubi kentang ,Tan Metrik,14344.64,106610844,381688.11,985999980
2019,Sayur-sayuran lain,Tan Metrik,83238.06,277675289,152966.3,539808007
2019,Pisang,Tan Metrik,23994.84,31249464,28166.89,61401506
2019,Nanas,Tan Metrik,24119.51,44482834,4933.43,12919166
2019,Kelapa,Tan Metrik,18731.41,58425702,267197.58,231787973
2019,Tembikai,Tan Metrik,60622.27,91609341,5839.42,24717221
2019,Betik,Tan Metrik,19020.25,30773328,406.49,438102
2019,Jambu batu,Tan Metrik,3181.99,8709595,3171.96,4801391
2019,Mangga,Tan Metrik,3133.41,8650529,38039.09,61985198
2019,Manggis,Tan Metrik,2433.64,5858017,3483.57,6145188
2019,Rambutan,Tan Metrik,1633.93,2886622,955.75,1552884
2019,Durian,Tan Metrik,22161.77,92254578,6372.7,16814027
2019,Belimbing,Tan Metrik,1990.81,23054074,9.63,12915
2019,Nangka dan cempedak,Tan Metrik,6192.96,20596928,548.24,771760
2019,Langsat,Tan Metrik,3897.59,8744200,1742.66,2797845
2019,Mata kucing dan longan,Tan Metrik,37.93,315742,27004.76,71778000
2019,Ciku,Tan Metrik,125.32,359908,159.8,1067508
2019,Avocado,Tan Metrik,150.53,597450,3914.47,53341323
2019,"Naga ,Pitaya",Tan Metrik,3035.04,9667211,2193.95,9665222
2019,Asam jawa,Tan Metrik,1919.15,3729004,15256.36,36084649
2019,Buah-buahan diawet,Tan Metrik,31635.84,712957308,65794.56,636399281
2019,Jus buah-buahan dan sayur-sayuran,Tan Metrik,24820.36,111362357,28067.88,209457367
2019,Buah-buah tropika lain,Tan Metrik,160.24,2298034,2104.28,36033116
2019,Epal,Tan Metrik,1141.76,6289852,105827.67,496094966
2019,Oren,Tan Metrik,4578.29,14485903,103124.09,335137550
2019,Limau mandarin,Tan Metrik,751.64,2932872,73856.16,252007177
2019,"Pir, pear ",Tan Metrik,703.86,3486599,37536.29,146406962
2019,Anggur,Tan Metrik,1818.2,18088085,44550.62,407023504
2019,Kurma,Tan Metrik,2748.86,15162346,18009.08,202077579
2019,Kacang,Tan Metrik,3038.71,34279163,14532.66,352206249
2019,Buah-buah lain,Tan Metrik,10177.2,38714586,58624.57,430684909
2019,Gula tebu dan gula ubi,Tan Metrik,102619.12,178145346,1880656.9,2608937303
2019,Madu,Tan Metrik,225.42,4133480,3381.82,46893448
2019,Laktos,Tan Metrik,154.72,748050,8056.13,41106918
2019,Molass,Tan Metrik,2315.03,3178527,16177.58,39652915
2019,"Glukos, fruktos, maltos",Tan Metrik,875.77,4157404,81854.72,185347482
2019,Sediaan gula,Tan Metrik,3386.94,54504388,8623.3,93116496
2019,Hasil gula lain,Tan Metrik,156732.98,710743479,63760.45,373642058
2019,Kopi dan penggantinya,Tan Metrik,133771.4,2155640652,136520.75,1551107265
2019,Teh,Tan Metrik,6134.37,166124953,29435.77,450846047
2019,Koko,Tan Metrik,438721.38,5319318079,426979.77,4004958516
2019,Coklat dan sediaan koko,Tan Metrik,90002.38,1279057300,32337.45,672774530
2019,Ketumbar,Tan Metrik,645.7,3778925,16870.81,87503266
2019,Jintan,Tan Metrik,113.32,1333574,3440.48,33186739
2019,"Lada hitam, putih dan hijau",Tan Metrik,9829.84,145469347,2979.65,46481827
2019,Cili kering,Tan Metrik,1597.69,14243890,44857.38,372101340
2019,Kunyit,Tan Metrik,239.6,2455628,8410.47,45719003
2019,"Lain kopi, koko, teh, rempah",Tan Metrik,30822.74,186561975,22513.43,284045725
2019,Jagung Tidak termasuk jagung manis,Tan Metrik,1779.47,2231030,1721918.52,1514114419
2019,Hampas kacang soya,Tan Metrik,43662.35,73499207,1389216.5,2161865593
2019,Hampas gandum,Tan Metrik,18824.63,14909352,102209.27,128989196
2019,Hampas rapeseed,Tan Metrik,319.24,458026,5539.93,13425514
2019,Hampas kelapa dan kopra,Tan Metrik,17621.77,8957107,900.4,1105671
2019,Hampas daging,Tan Metrik,454253.29,8167716,94004.97,245465977
2019,Hampas isirung kelapa sawit,Tan Metrik,2584382.98,1045364881,31841.75,65693573
2019,Makanan ternakan lain,Tan Metrik,408135.51,794456436,497521.85,1789372828
2019,Marjerin dan Lemak,Tan Metrik,428286.46,1711954664,15353.86,117878629
2019,Makanan bayi,Tan Metrik,13196,183503144,48076.08,268669351
2019,Sos,Tan Metrik,78437.37,745350575,71587.21,607730617
2019,Sup,Tan Metrik,5408.25,50190438,1173.27,13066415
2019,"Mi,mihun,pasta",Tan Metrik,2207.55,20137879,16752.01,92136032
2019,Makanan tambahan,Tan Metrik,8416.94,375851119,42910.78,942373741
2019,Yis,Tan Metrik,7449.81,21745266,9914.37,70675893
2019,Susu isian,Tan Metrik,408269.22,1644034405,9658.48,96776887
2019,Sarang burung,Tan Metrik,282.87,561421977,2.28,606200
2019,Lain-lain makanan lain,Tan Metrik,359526.13,3408700005,261576.2,3732512963
2020,Lembu dan Kerbau  ,Ekor,1096,1438800,43041,145767027
2020,Ayam dan itik ,Ekor,61451658,768573721,1684057,70937449
2020,Daging Lembu dan Kerbau  ,Tan Metrik,3790.66,84449536,161889.98,2215706537
2020,Daging Kambing dan Bebiri  ,Tan Metrik,51.38,1052961,37827.96,879428434
2020,Daging Babi  ,Tan Metrik,1771.9,26205820,13714.7,204545230
2020,Daging Ayam dan Itik  ,Tan Metrik,42298.21,508890932,69858.95,592996900
2020,Daging Ayam Turki  ,Tan Metrik,41.44,924708,1471.32,8497190
2020,Daging lain  ,Tan Metrik,4303.04,53465352,4967.52,71331291
2020,Susu Segar,Tan Metrik,12300.39,51272611,35611.12,142085436
2020,"Lain-lain susu, krim dan produk susu",Tan Metrik,157828.94,1119060009,307602.68,3166787474
2020,Mentega/Lain-lain Minyak dan lemak dari tenusu,Tan Metrik,4131.81,92448276,19915.29,424138576
2020,Keju dan dadih,Tan Metrik,1225.89,31733226,35068.25,688564135
2020,Telur unggas,Tan Metrik,103080.36,536251219,2015.53,22626797
2020,Ikan hidup,Tan Metrik,2277.58,35022713,1633.36,12632314
2020,Ikan segar,Tan Metrik,147066.22,831432227,270924.56,2314810515
2020,Ikan kering,Tan Metrik,5234.11,71937013,18749.78,148024883
2020,Krustasea dan moluska,Tan Metrik,94584.23,1584193913,93791.71,1264821009
2020,"Sediaan ikan, krustasea dan moluska",Tan Metrik,45501.93,745411584,42861.46,742517419
2020,"Lain-lain produk ikan, krustasea dan moluska",Tan Metrik,631030.68,244677839,40082.22,175454909
2020,Beras,Tan Metrik,58250.52,97004688,1212410.04,2471004812
2020,Tepung beras,Tan Metrik,217.77,832291,6700.23,25640289
2020,Gandum dan meslin,Tan Metrik,356.47,599922,1390608.79,1586679452
2020,Tepung Gandum dan tepung meslin,Tan Metrik,66194.75,125482821,297205.37,415561401
2020,Malt,Tan Metrik,1566.41,15595568,45990.79,130630584
2020,Biskut,Tan Metrik,19264.53,223718890,16643.44,165489366
2020,Keluaran roti,Tan Metrik,153307.06,1040708950,26711.48,211253340
2020,Bijirin bersalut koko,Tan Metrik,14433.88,126760826,7601.78,91129506
2020,Roll flake grains of maize,Tan Metrik,11704.86,12324405,2074028.4,1846552287
2020,Other worked grains of maize,Tan Metrik,4916.76,6415639,3079.2,4643753
2020,Bijirin lain,Tan Metrik,122535.03,1271750811,177941.26,924492828
2020,Bayam,Tan Metrik,8830.72,19586613,960.35,10578324
2020,Cendawan,Tan Metrik,6150.11,79378688,39495.61,269138275
2020,Cili ,Tan Metrik,5912.4,27737962,69420.28,157054725
2020,Halia,Tan Metrik,331.26,3449365,50612.17,255971323
2020,Jagung manis,Tan Metrik,10071.62,36725870,12327.75,46127271
2020,Kacang bendi,Tan Metrik,1647.69,4253183,411,488405
2020,Kacang buncis,Tan Metrik,3703.71,16436182,347.45,1385166
2020,Kacang panjang,Tan Metrik,4417.14,11760675,900.15,1112381
2020,Kobis,Tan Metrik,2316.26,5112450,136770.61,185959339
2020,Salad,Tan Metrik,14131.41,83116424,7427.86,16982973
2020,Sawi,Tan Metrik,6613.13,11187343,10209.29,15491755
2020,Sayuran campuran,Tan Metrik,12859.8,50109599,41101.79,141221270
2020,Terung,Tan Metrik,6875.23,20741025,2524.87,3256673
2020,Timun,Tan Metrik,19709.68,42742514,8752.81,7573070
2020,Tomato,Tan Metrik,38669.39,115167950,18354.76,76432716
2020,Ubi kayu,Tan Metrik,517.76,739161,1110.14,3876915
2020,Ubi keledek,Tan Metrik,1406.32,2486698,19032.84,48808856
2020,Bawang,Tan Metrik,18567.15,35746319,479746.63,887349081
2020,Bawang putih,Tan Metrik,8545.55,27763050,115177.64,489057368
2020,"Bunga kobis,brokoli",Tan Metrik,1235.84,5606513,60818,309394048
2020,Kekacang,Tan Metrik,8535.76,34460764,123629.94,412766334
2020,Lobak merah,Tan Metrik,5340.78,9652220,87082.86,184768560
2020,Ubi kentang ,Tan Metrik,13025.63,101036423,378551.97,1071133381
2020,Sayur-sayuran lain,Tan Metrik,73600.29,269922368,144952.58,515399945
2020,Pisang,Tan Metrik,28059.31,36470942,27897.99,62160678
2020,Nanas,Tan Metrik,24669.62,52496005,4647.03,18853345
2020,Kelapa,Tan Metrik,21911.89,72765530,299566.74,322229630
2020,Tembikai,Tan Metrik,45324.29,65954274,7394.08,30246695
2020,Betik,Tan Metrik,22487.21,30596908,307.42,484327
2020,Jambu batu,Tan Metrik,2916.19,8125566,4146.14,5618732
2020,Mangga,Tan Metrik,4076.02,10780814,54878.12,87886420
2020,Manggis,Tan Metrik,2309.89,12669788,4029.81,7326716
2020,Rambutan,Tan Metrik,767.69,1923146,1714.27,2497646
2020,Durian,Tan Metrik,16967.76,74172579,4901.93,12539628
2020,Belimbing,Tan Metrik,1373.22,16642723,0.66,24907
2020,Nangka dan cempedak,Tan Metrik,5649.82,15032837,227.39,311659
2020,Langsat,Tan Metrik,540.78,1438611,1161.86,1873738
2020,Mata kucing dan longan,Tan Metrik,70.73,452500,30523.92,81483210
2020,Ciku,Tan Metrik,116.23,476945,101.41,605508
2020,Avocado,Tan Metrik,170.85,758159,3435.71,51772637
2020,"Naga ,Pitaya",Tan Metrik,3894.68,12816385,2462.48,11476021
2020,Asam jawa,Tan Metrik,986.44,4578290,17838.61,46471371
2020,Buah-buahan diawet,Tan Metrik,32789.17,829664743,63998.33,610531972
2020,Jus buah-buahan dan sayur-sayuran,Tan Metrik,20251.08,90703293,20102.33,142044363
2020,Buah-buah tropika lain,Tan Metrik,99.95,1546124,2692.96,49262510
2020,Epal,Tan Metrik,2085,8575300,106249.19,477722502
2020,Oren,Tan Metrik,3530.89,10801246,89478.22,346838888
2020,Limau mandarin,Tan Metrik,476.41,1648505,49387.44,189988887
2020,"Pir, pear ",Tan Metrik,716.98,2960801,42038.02,163920350
2020,Anggur,Tan Metrik,801.9,7859568,45606.25,401788865
2020,Kurma,Tan Metrik,4127.01,27836040,22409.6,246731291
2020,Kacang,Tan Metrik,2142.15,14704879,12843.71,295606835
2020,Buah-buah lain,Tan Metrik,13291.6,46775830,62308.35,465944155
2020,Gula tebu dan gula ubi,Tan Metrik,254132.43,453242467,2187501.48,3207205194
2020,Madu,Tan Metrik,320.77,5809437,3417.11,48266035
2020,Laktos,Tan Metrik,110.35,574057,7298.51,39863085
2020,Molass,Tan Metrik,13921.57,11318672,15052.27,44970719
2020,"Glukos,fruktos,maltos",Tan Metrik,1448.74,5765191,74595.98,163774866
2020,Sediaan gula,Tan Metrik,2978.25,43408425,7787.44,70844036
2020,Hasil gula lain,Tan Metrik,205966.73,699726193,64246.22,348517942
2020,Kopi dan penggantinya,Tan Metrik,115991.3,2021578746,131675.21,1491792550
2020,Teh,Tan Metrik,8363.83,175024960,27773.57,367665556
2020,Koko,Tan Metrik,381585.09,5226058929,442796.78,4598178352
2020,Coklat dan sediaan koko,Tan Metrik,72815.26,1041761609,26158.62,527441118
2020,Ketumbar,Tan Metrik,901.53,5263057,15968.99,80385021
2020,Jintan,Tan Metrik,150.03,2093616,4087.98,35399521
2020,"Lada hitam, putih dan hijau",Tan Metrik,8490.67,121046396,2524.2,38587229
2020,Cili kering,Tan Metrik,2467.68,25048423,49532.16,476537658
2020,Kunyit,Tan Metrik,359.49,3753818,8593.12,43078167
2020,"Lain kopi, koko, teh, rempah",Tan Metrik,13436.49,186610520,30505.88,617270122
2020,Jagung Tidak termasuk jagung manis,Tan Metrik,4874.08,5268872,2004200.14,1728791465
2020,Hampas kacang soya,Tan Metrik,63491.15,117320511,1352016.01,2185578087
2020,Hampas gandum,Tan Metrik,9129.08,9850376,90638.64,113902014
2020,Hampas kacang tanah,Tan Metrik,0.96,19408,7.87,135805
2020,Hampas rapeseed,Tan Metrik,374.15,548794,6211.63,6638926
2020,Hampas kelapa dan kopra,Tan Metrik,6046.63,17151888,4474.73,17588297
2020,Hampas daging,Tan Metrik,3407,9871499,99235.79,282332223
2020,Hampas isirung kelapa sawit,Tan Metrik,2529531.33,1295274795,41987.88,48818656
2020,Makanan ternakan lain,Tan Metrik,458379.01,1014239206,412649.17,1769130663
2020,Marjerin dan Lemak,Tan Metrik,334903.65,1600267991,11946.7,74270323
2020,Makanan bayi,Tan Metrik,12001.02,165286382,49267.87,321042973
2020,Sos,Tan Metrik,75028.31,760166037,74930.93,640320034
2020,Sup,Tan Metrik,6092.05,43407768,1065.04,11562402
2020,"Mi,mihun,pasta",Tan Metrik,1820.24,15775334,21758.58,122883229
2020,Makanan tambahan,Tan Metrik,6973.23,370002977,48193.75,1099693226
2020,Yis,Tan Metrik,9677.79,22995914,12950.77,84673377
2020,Susu isian,Tan Metrik,394926.32,1713395250,18093.23,205128890
2020,Sarang burung,Tan Metrik,368.43,905206806,1.74,1111539
2020,Lain-lain makanan lain,Tan Metrik,378501.5,3324315731,295938.14,4080250332
2021,Lembu dan Kerbau  ,Ekor,1017,1418400,40177,175968827
2021,Kambing dan Bebiri  ,Ekor,80,32010,39062,28369393
2021,Ayam dan itik  ,Ekor,60462722,844509649,2630750,70848566
2021,Daging Lembu dan Kerbau, Tan Metrik,8287.14,176596347,169014.18,2405898177
2021,Daging Kambing dan Bebiri  , Tan Metrik,47.15,926911,29296.35,767875952
2021,Daging Babi  , Tan Metrik,1519.83,29679030,17381.95,261381019
2021,Daging Ayam dan Itik  , Tan Metrik,47879.27,636364790,96497.67,767965956
2021,Daging Ayam Turki  , Tan Metrik,88.24,2055702,259.64,6509500
2021,Daging lain  , Tan Metrik,3939.97,52359464,1136.02,15425968
2021,Susu Segar, Tan Metrik,13479.61,55128475,45708.03,224906205
